ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: fb_product_item_id,Meta: fb_visibility,Meta: _wc_facebook_sync_enabled,Meta: fb_product_description,Meta: _wc_facebook_product_image_source,Meta: fb_product_image,Meta: fb_product_price,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_focuskeywords,Meta: _yoast_wpseo_keywordsynonyms,Meta: _yoast_wpseo_primary_product_cat,Meta: _yith_wcbm_badge_from_date,Meta: _yith_wcbm_badge_to_date,Meta: fb_product_group_id,Meta: _wc_facebook_commerce_enabled,Meta: _yith_wcbm_badge_schedule,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_indexnow_last_ping,Meta: _yoast_wpseo_wordproof_timestamp,Meta: _yoast_wpseo_primary_fb_product_set,Meta: _yoast_wpseo_primary_product_brand,Meta: _wp_old_date,Meta: _yoast_wpseo_opengraph-title,Meta: _yoast_wpseo_opengraph-description,Meta: _yoast_wpseo_opengraph-image,Meta: _yoast_wpseo_opengraph-image-id,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_twitter-description,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex,Meta: fb_rich_text_description,Meta: fb_brand,Meta: fb_mpn,Meta: fb_size,Meta: fb_color,Meta: fb_material,Meta: fb_pattern,Meta: fb_age_group,Meta: fb_gender,Meta: fb_product_condition,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Meta: _wp_desired_post_slug,Meta: yith_wcbm_badge_options_schedule,Meta: yith_wcbm_badge_options_security,Meta: yith_wcbm_badge_options_schedule_from,Meta: yith_wcbm_badge_options_schedule_to,Attribute 4 default,Meta: _oembed_3a1aea8bf90fd50d4b2f46b28e4c9756,Meta: _oembed_ccf759f70b721a0ed28e9a480edbf902,Meta: _oembed_8a7f2ecc928babb54b1fe347cdd1a103,Meta: _oembed_time_8a7f2ecc928babb54b1fe347cdd1a103,Meta: __is_newly_created_product,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global
24756,variation,WPcon7-L,,Eames Dining Tables - 1200mm,1,0,visible,,Eames Side Tables - 1200mm round white top,,,taxable,,0,0,,0,0,,,,,0,,,795,,,,,,,WPcon7,,,,,,0,,Table Diameter,1200mm,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24757,variation,WPcon7-S,,Eames Dining Tables - 1000mm,1,0,visible,,Eames Side Tables - 1000mm round white top,,,taxable,,0,0,,0,0,,,,,0,,,795,,,,,,,WPcon7,,,,,,2,,Table Diameter,1000mm,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24723,variable,WPcon7,,Eames Dining Tables,1,0,visible,,,,,taxable,,0,,,0,0,,,,,0,,,,"Designers > Charles and Ray Eames, Consignment, Tables > Dining tables, Tables",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/05/WPcon7_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/05/WPcon7_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/05/WPcon7_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/05/WPcon7_4.jpg",,,,,,,,,1207,,Table Diameter,"1000mm, 1200mm",0,0,Designer,Charles and Ray Eames,1,1,,,,,,,,,,,,,,,,,60,[],"[""""]",666,,,3.74E+15,no,,,,,,,22/05/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
